WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3,,,,
RANDOM,100,500,0.2,1,100,0,0,2,23.05,16.24,6.74,,,,,
RANDOM,100,500,0.2,1,100,50,5,2,22.89,14.14,8.7,,,,,
RANDOM,100,500,0.2,1,100,100,5,2,19.42,13.01,6.34,,,,,
RANDOM,100,500,0.2,1,100,200,5,2,17.01,10.97,5.92,,,,,
RANDOM,100,500,0.4,1,100,0,0,2,34.23,27.66,6.47,,,,,
RANDOM,100,500,0.4,1,100,50,5,2,34.34,28.3,5.96,,,,,
RANDOM,100,500,0.4,1,100,100,5,2,34.57,28.37,6.09,,,,,
RANDOM,100,500,0.4,1,100,200,5,2,32.16,26.45,5.56,,,,,
RANDOM,100,500,0.6,1,100,0,0,2,78.68,71.93,6.63,,,,,
RANDOM,100,500,0.6,1,100,50,5,2,76.72,70.56,6.02,,,,,
RANDOM,100,500,0.6,1,100,100,5,2,89.41,81.97,7.27,,,,,
RANDOM,100,500,0.6,1,100,200,5,2,110.05,103.67,6.18,,,,,
RANDOM,100,500,0.8,1,100,0,0,3,171.79,159.87,5.94,5.83,,,,
RANDOM,100,500,0.8,1,100,50,5,3,154.32,142.45,6.03,5.65,,,,
RANDOM,100,500,0.8,1,100,100,5,3,159.69,147.93,5.89,5.72,,,,
RANDOM,100,500,0.8,1,100,200,5,2,153.09,146.99,5.9,,,,,
RANDOM,100,500,1,1,100,0,0,3,268.74,256.99,5.9,5.65,,,,
RANDOM,100,500,1,1,100,50,5,3,491.61,472.5,9.13,9.6,,,,
RANDOM,100,500,1,1,100,100,5,3,527.29,509.63,9.34,7.98,,,,
RANDOM,100,500,1,1,100,200,5,2,564.18,555.59,8.17,,,,,
ALL_THE_SAME,100,500,0.2,1,100,0,0,2,26.22,17.97,8.19,,,,,
ALL_THE_SAME,100,500,0.2,1,100,50,5,2,24.85,16.95,7.84,,,,,
ALL_THE_SAME,100,500,0.2,1,100,100,5,2,24.18,16.5,7.6,,,,,
ALL_THE_SAME,100,500,0.2,1,100,200,5,2,20.2,14.25,5.82,,,,,
ALL_THE_SAME,100,500,0.4,1,100,0,0,2,35.13,29.25,5.81,,,,,
ALL_THE_SAME,100,500,0.4,1,100,50,5,2,46.28,39.47,6.74,,,,,
